PROJECTID,NAME,ADDRESS,CITY,STATE,ZIP,MSA,LATITUDE,LONGITUDE,MANAGEMENTCOMPANY,SUBMARKET,QUANTITY,AREAPERUNIT,LEVEL,YEARBUILT,MRG_CLASS,AXIOSUBMNEM,OCCUPANCY_PERCENTAGE,MARKET
16168,Saunders Crossing,11 Diamond St,Lawrence,MA,1843,"Boston-Cambridge-Newton, MA-NH",42.689491272,-71.17315674,"The Dolben Company, Inc.",BOS_SM12,222,851.489990234,3,1972,BC,BOS_SM12,0.98,BOS
17488,The Ridge,55 Ridge Ln,Waltham,MA,2452,"Boston-Cambridge-Newton, MA-NH",42.406898499,-71.23599243,Lincoln Property Company,BOS_SM19,198,973.799987793,4,2005,BC,BOS_SM19,0.98,BOS
19336,West End Apartments - Asteria,4 Emerson Pl,Boston,MA,2114,"Boston-Cambridge-Newton, MA-NH",42.364871979,-71.06764221,EQUITY RESIDENTIAL,BOS_SM3,170,1036.459960938,11,2008,BC,BOS_SM3,0.98,BOS
21134,Lynnfield Commons,375 Broadway,Lynnfield,MA,1940,"Boston-Cambridge-Newton, MA-NH",42.51240921,-71.00624847,Corcoran Management,BOS_SM20,200,1022.719970703,5,2009,BC,BOS_SM20,0.98,BOS
21138,Cloverleaf Apartments,325 Speen St,Natick,MA,1760,"Boston-Cambridge-Newton, MA-NH",42.302223206,-71.37866974,Forest Properties,BOS_SM10,183,851.489990234,10,2008,A,BOS_SM10,0.98,BOS
21147,Washington Crossing,55 Cedar St,Woburn,MA,1801,"Boston-Cambridge-Newton, MA-NH",42.497764587,-71.12207031,Bozzuto Management,BOS_SM20,202,1065.050048828,4,2003,A,BOS_SM20,0.98,BOS
25913,Neponset Landing,2 Hancock St,Quincy,MA,2171,"Boston-Cambridge-Newton, MA-NH",42.283203125,-71.03658295,Greystar,BOS_SM13,252,953.219970703,12,2007,A,BOS_SM13,0.98,BOS
25931,Canton Woods,1 Windsor Woods Ln,Canton,MA,2021,"Boston-Cambridge-Newton, MA-NH",42.14617157,-71.10647583,Lincoln Property Company,BOS_SM6,166,975.780029297,4,2007,A,BOS_SM6,0.98,BOS
33991,Quarrystone At Overlook Ridge,10 Overlook Ridge Dr,Malden,MA,2148,"Boston-Cambridge-Newton, MA-NH",42.438453674,-71.02116394,Winn Companies,BOS_SM15,251,1110.150024414,6,2008,BC,BOS_SM15,0.98,BOS
37285,100 Pier 4,100 Pier 4 Blvd.,Boston,MA,2210,"Boston-Cambridge-Newton, MA-NH",42.351337433,-71.04316711,"UDR, Inc",BOS_SM3,369,804.349975586,22,2015,A,BOS_SM3,0.98,BOS
40717,Tent City,130 Dartmouth St,Boston,MA,2116,"Boston-Cambridge-Newton, MA-NH",42.346435547,-71.07565308,Maloney Properties Inc,BOS_SM17,269,874.380004883,12,1987,A,BOS_SM17,0.98,BOS
41685,Rosemont Square II,2 Chestnut W,Randolph,MA,2368,"Boston-Cambridge-Newton, MA-NH",42.180000305,-71.07221985,Greystar,BOS_SM16,90,735,3,2012,BC,BOS_SM16,0.98,BOS
42826,Captain Parker Arms,50 Grove,Arlington,MA,2476,"Boston-Cambridge-Newton, MA-NH",42.439590454,-71.23203278,"The Hamilton Company, Inc.",BOS_SM2,94,943.400024414,2,1966,BC,BOS_SM2,0.98,BOS
42873,Park 87 Apartments,87 New St,Cambridge,MA,2138,"Boston-Cambridge-Newton, MA-NH",42.389713287,-71.13950348,Acorn Holdings,BOS_SM5,56,929.140014648,4,2010,BC,BOS_SM5,0.98,BOS
42926,Westwoods,24 Bridle Path Cir,Randolph,MA,2368,"Boston-Cambridge-Newton, MA-NH",42.16312027,-71.05017853,Connecticut Management,BOS_SM16,35,794.570007324,3,1978,BC,BOS_SM16,0.98,BOS
43541,Liberty Place,100 Liberty Pl,Randolph,MA,2368,"Boston-Cambridge-Newton, MA-NH",42.175952911,-71.03759766,Connecticut Management,BOS_SM16,107,923.08001709,3,1988,A,BOS_SM16,0.98,BOS
45496,Boott Mills West,130 John St,Lowell,MA,1852,"Boston-Cambridge-Newton, MA-NH",42.647758484,-71.30745697,Winn Companies,BOS_SM12,78,1040.459960938,6,2013,A,BOS_SM12,0.98,BOS
45603,30 Haven St in Reading,30 Haven St,Reading,MA,1867,"Boston-Cambridge-Newton, MA-NH",42.522491455,-71.10610962,Wingate Companies,BOS_SM20,53,984.659973145,4,2012,BC,BOS_SM20,0.98,BOS
45613,Fenway Diamond Apartments ,9 Miner St,Boston,MA,2215,"Boston-Cambridge-Newton, MA-NH",42.346408844,-71.10323334,Chestnut Hill Realty,BOS_SM4,49,780.729980469,5,2015,A,BOS_SM4,0.98,BOS
47468,Exchange Street Apartments,100 Exchange St,Malden,MA,2148,"Boston-Cambridge-Newton, MA-NH",42.426319122,-71.07136536,COMBINED PROPERTIES ,BOS_SM15,210,850.08001709,6,2017,A,BOS_SM15,0.98,BOS
51343,Rosemont Square I,2 Chestnut W,Randolph,MA,2368,"Boston-Cambridge-Newton, MA-NH",42.180198669,-71.06923676,Greystar,BOS_SM16,417,983.679992676,3,1975,A,BOS_SM16,0.98,BOS
