SNO,AC_LATITUDE,AC_LONGITUDE,AC_COMPID,AC_MANAGEMENTCOMPANY,AC_PROJID,AC_NAME,AC_ADDRESS,AC_CITY,AC_STATE,AC_ZIP,AC_YEARBUIT,AC_QUANTITY,AC_AREAPERUNIT,AC_LEVEL,AC_PROJID,AC_NAME,AC_QUANTITY,AC_AREAPERUNIT,AC_YEARBUILT,MRG_CLASS,AXIOSUBMNEM,FILENAME
  417,40.670505524,-73.43106842,JRK Property Holdings,JRK Property Holdings,516,Southpoint at Massapequa,25 Weaver Dr,Massapequa,NY,11758,1969,215,984.630004883,2,516,Southpoint at Massapequa,215,984.63,1969,A,LIS_SM4,TALEND
  419,39.331546783,-76.767280579,Morgan Properties,Morgan Properties,518,Stratton Meadows,4 Heatherton Ct,Baltimore,MD,21244,1989,270,1047.08996582,2,518,Stratton Meadows,270,1047.09,1989,BC,BAL_SM3,TALEND
  423,39.377162933,-76.729858398,Drucker & Falk Real Estate,Harbor Group Management,523,The Estates,1601 Hutzler Ln,Pikesville,MD,21208,1989,208,879.960021973,4,523,The Estates,208,879.96,1989,A,BAL_SM16,TALEND
  426,39.364444733,-76.720802307,Blue Ocean Realty,Blue Ocean Realty,526,"Milford Station I, II",19 Warren Park Dr,Baltimore,MD,21208,1963,250,881.5,3,526,"Milford Station I, II",250,881.50,1963,BC,BAL_SM16,TALEND
  427,39.0795784,-77.065582275,Lone Star Funds,Home Properties,527,Westchester West,3214 Hewitt Ave Apt 92,Silver Spring,MD,20906,1970,348,1004.630004883,4,527,Westchester West,348,1004.63,1970,A,SMD_SM8,TALEND
  428,39.283229828,-76.708328247,"Atlantic Realty Management, Inc.","Atlantic Realty Management, Inc.",528,Jamestown Williston Townhomes and Apartments,5364 Jamestowne Ct,Baltimore,MD,21229,1962,349,918.979980469,2,528,Jamestown Williston Townhomes and Apartments,349,918.98,1962,BC,BAL_SM22,TALEND
  431,37.729026794,-121.911735535,AvalonBay Communities,AvalonBay Communities,532,Eaves Dublin ,7904 Fall Creek Rd,Dublin,CA,94568,1988,204,856.440002441,3,532,Eaves Dublin ,204,856.44,1988,BC,OAK_SM4,TALEND
  432,33.836353302,-117.872505188,Patrick F. Cadigan,Greenwood & McKenzie Real Estate Investments,533,Amberway,489 S Chatham Cir,Anaheim,CA,92806,1983,272,747.059997559,2,533,Amberway,272,747.06,1983,BC,ORC_SM1,TALEND
  433,33.718479156,-117.991073608,Interstate Equities Corporation,FPI Management,535,Surf 39,16761 Viewpoint Ln,Huntington Beach,CA,92647,1972,400,902.539978027,2,535,Surf 39,400,902.54,1972,A,ORC_SM6,TALEND
  434,37.63615036,-122.055374146,Kennedy Wilson,"AMC, LLC",536,Metro Six55,655 Tennyson Rd,Hayward,CA,94544,1986,188,893.880004883,3,536,Metro Six55,188,893.88,1986,A,OAK_SM8,TALEND
  436,37.282737732,-121.9451828,AvalonBay Communities,AvalonBay Communities,538,Avalon Campbell,508 Railway Ave,Campbell,CA,95008,1994,348,902.289978027,3,538,Avalon Campbell,348,902.29,1994,A,SAJ_SM1,TALEND
  437,37.283416748,-121.935653687,"Land and Houses U.S.A., Inc.",FPI Management,539,Parc at Pruneyard ,225 Union Ave,Campbell,CA,95008,1966,251,781.869995117,2,539,Parc at Pruneyard ,252,781.75,1966,A,SAJ_SM1,TALEND
  438,37.248828888,-121.855201721,Aimco,Aimco,540,Saybrook Pointe,401 Briar Ridge Dr,San Jose,CA,95123,1995,324,998.440002441,3,540,Saybrook Pointe,324,998.44,1995,A,SAJ_SM12,TALEND
  439,37.788211823,-122.416183472,AvalonBay Communities,AvalonBay Communities,542,AVA Nob Hill,965 Sutter St,San Francisco,CA,94109,1990,185,582.200012207,9,542,AVA Nob Hill,185,582.20,1990,BC,SFR_SM7,TALEND
  440,37.402248383,-121.881217957,AvalonBay Communities,AvalonBay Communities,543,eaves San Jose I,1895 N Capitol Ave,San Jose,CA,95132,1984,440,892.770019531,2,543,eaves San Jose I,440,892.77,1984,BC,SAJ_SM8,TALEND
  441,37.391410828,-122.071716309,AvalonBay Communities,AvalonBay Communities,544,eaves Creekside,151 Calderon Ave,Mountain View,CA,94041,1961,296,729.989990234,2,544,eaves Creekside,296,729.99,1961,BC,SAJ_SM6,TALEND
  443,38.011734009,-122.53704071,AvalonBay Communities,AvalonBay Communities,546,eaves San Rafael,300 Channing Way,San Rafael,CA,94903,1973,254,871.539978027,3,546,eaves San Rafael,254,871.54,1973,BC,SFR_SM12,TALEND
  444,37.383674622,-121.826889038,Prime Group Residential,Prime Group Residential,547,Fairway Glen,448 Toyon Ave,San Jose,CA,95127,1986,144,824.16998291,2,547,Fairway Glen,144,824.17,1986,BC,SAJ_SM4,TALEND
  445,37.253566742,-121.872428894,Greystar,Greystar,548,Avana Almaden Apartments,1070 Foxchase Drive,San Jose,CA,95123,1986,396,854.700012207,3,548,Avana Almaden Apartments,396,854.70,1986,BC,SAJ_SM12,TALEND
  446,47.681598663,-122.129615784,AvalonBay Communities,AvalonBay Communities,549,Avalon Redmond Place ,8935 160th Ave NE,Redmond,WA,98052,1991,222,952.479980469,4,549,Avalon Redmond Place ,222,952.48,1991,BC,SEA_SM22,TALEND
  447,32.792293549,-117.154258728,AvalonBay Communities,AvalonBay Communities,550,Eaves Mission Ridge ,2745 Meadow Lark Dr,San Diego,CA,92123,1960,200,1056.380004883,2,550,Eaves Mission Ridge ,200,1056.38,1960,A,SDC_SM2,TALEND
  451,37.695800781,-121.879905701,AvalonBay Communities,AvalonBay Communities,554,Eaves Pleasanton ,3650 Andrews Dr,Pleasanton,CA,94588,1988,456,797.210021973,3,554,Eaves Pleasanton ,456,797.21,1988,BC,OAK_SM4,TALEND
  452,37.543395996,-121.971801758,AvalonBay Communities,AvalonBay Communities,555,Avalon Fremont,39939 Stevenson Common,Fremont,CA,94538,1992,308,1026.140014648,3,555,Avalon Fremont,308,1026.14,1992,A,OAK_SM7,TALEND
  453,34.156459808,-118.346611023,AvalonBay Communities,AvalonBay Communities,556,AVA Burbank,401 N Pass Ave,Burbank,CA,91505,1964,748,735.299987793,2,556,AVA Burbank,748,735.30,1964,BC,LAC_SM2,TALEND
  454,47.532657623,-122.363945007,Intercontinental Real Estate Corporation,Greystar,557,Westhaven,2201 SW Holden St,Seattle,WA,98106,1989,190,789.469970703,3,557,Westhaven,190,789.47,1989,BC,SEA_SM31,TALEND
  455,33.599414825,-117.655906677,AvalonBay Communities,AvalonBay Communities,558,Avalon Mission Viejo,24950 Via Florecer,Mission Viejo,CA,92692,1986,166,750.599975586,2,558,Avalon Mission Viejo,166,750.60,1986,BC,ORC_SM14,TALEND
  456,33.636386871,-117.913505554,AvalonBay Communities,AvalonBay Communities,559,AVA Newport,1765 Santa Ana Ave,Costa Mesa,CA,92627,1956,145,866.140014648,2,559,AVA Newport,145,866.14,1956,A,ORC_SM3,TALEND
  457,33.681663513,-117.880088806,AvalonBay Communities,AvalonBay Communities,560,Eaves South Coast ,555 Paularino Ave,Costa Mesa,CA,92626,1974,258,804.349975586,2,560,Eaves South Coast ,258,804.35,1974,A,ORC_SM3,TALEND
  458,33.715415955,-118.011924744,AvalonBay Communities,AvalonBay Communities,562,eaves Huntington Beach,6700 Warner Ave,Huntington Beach,CA,92647,1971,304,881.58001709,2,562,eaves Huntington Beach,304,881.58,1971,A,ORC_SM6,TALEND
  459,37.585823059,-122.022148132,AvalonBay Communities,AvalonBay Communities,563,Eaves Union City ,2175 Decoto Rd,Union City,CA,94587,1971,208,722.690002441,2,563,Eaves Union City ,208,722.69,1971,BC,OAK_SM14,TALEND
